steps,episode reward,episodes,mean 100 episode reward,% time spent exploring
57,197.0,2,197.0,99
180,390.0,3,293.5,99
214,224.0,4,270.3,99
569,977.0,5,447.0,98
601,231.0,6,403.8,98
2151,2256.0,7,712.5,93
2223,612.0,8,698.1,93
3022,1713.0,9,825.0,90
3161,605.0,10,800.6,90
4232,1179.0,11,838.4,87
4543,763.0,12,831.5,86
4682,807.0,13,829.5,85
4963,1278.0,14,864.0,85
5002,144.0,15,812.6,84
5207,617.0,16,799.5,84
6942,1504.0,17,843.6,79
7104,625.0,18,830.7,78
7796,1664.0,19,877.0,76
8012,565.0,20,860.6,75
8345,1216.0,21,878.4,74
8377,235.0,22,847.7,74
9316,1454.0,23,875.3,72
9557,705.0,24,867.9,71
9860,1469.0,25,892.9,70
9891,238.0,26,866.7,70
10587,1443.0,27,888.9,68
10625,222.0,28,864.2,68
10869,775.0,29,861.0,67
11372,1776.0,30,892.6,65
11411,135.0,31,867.3,65
11501,598.0,32,858.6,65
11801,979.0,33,862.4,64
11844,219.0,34,842.9,64
12624,2244.0,35,884.1,62
12661,212.0,36,864.9,62
13024,1218.0,37,874.7,60
13171,628.0,38,868.0,60
13472,1383.0,39,881.6,59
14138,530.0,40,872.6,57
14630,1484.0,41,887.8,56
14666,236.0,42,872.0,56
15020,1316.0,43,882.5,54
15439,1258.0,44,891.3,53
15537,588.0,45,884.4,53
15908,1080.0,46,888.7,52
16141,1236.0,47,896.3,51
16203,591.0,48,889.8,51
16412,966.0,49,891.4,50
16541,616.0,50,885.7,50
17039,1517.0,51,898.4,48
17341,1302.0,52,906.3,47
17382,140.0,53,891.5,47
17491,595.0,54,885.9,47
18138,2056.0,55,907.6,45
18416,1098.0,56,911.1,44
18495,439.0,57,902.6,44
18737,732.0,58,899.6,43
19072,1236.0,59,905.4,42
19154,595.0,60,900.2,42
19581,1198.0,61,905.2,41
19621,232.0,62,894.1,41
21164,2115.0,63,913.8,36
21206,208.0,64,902.6,36
21423,1552.0,65,912.8,35
21603,690.0,66,909.3,35
22089,2240.0,67,929.5,33
22392,1658.0,68,940.4,32
22478,456.0,69,933.2,32
22682,693.0,70,929.8,31
22975,1502.0,71,937.9,31
23188,531.0,72,932.2,30
25179,1049.0,73,933.8,24
25339,802.0,74,932.0,23
25561,1192.0,75,935.5,23
25669,603.0,76,931.1,22
25891,1260.0,77,935.4,22
26200,772.0,78,933.3,21
26409,1252.0,79,937.4,20
26444,232.0,80,928.5,20
26790,906.0,81,928.2,19
27040,1404.0,82,934.0,18
27077,113.0,83,924.0,18
27495,692.0,84,921.2,17
27667,661.0,85,918.1,16
27809,629.0,86,914.7,16
28029,1402.0,87,920.4,15
28064,235.0,88,912.5,15
28541,1619.0,89,920.6,14
28646,604.0,90,917.0,14
29094,1624.0,91,924.9,12
29168,598.0,92,921.3,12
29317,1198.0,93,924.3,12
29480,1130.0,94,926.5,11
30677,1288.0,95,930.3,9
30745,610.0,96,927.0,9
31082,1366.0,97,931.5,9
31249,1027.0,98,932.5,9
31535,1239.0,99,935.6,9
31572,216.0,100,928.4,9
31818,1236.0,101,931.4,9
32603,3569.0,102,965.2,9
32697,698.0,103,968.2,9
32893,1019.0,104,976.2,9
33008,815.0,105,974.6,9
33153,1033.0,106,982.6,9
33493,1915.0,107,979.2,9
33788,1002.0,108,983.1,9
33926,807.0,109,974.0,9
35208,1107.0,110,979.0,9
35273,471.0,111,972.0,9
35429,802.0,112,972.4,9
35836,2127.0,113,985.6,9
36064,1409.0,114,986.9,9
36096,161.0,115,987.0,9
36180,599.0,116,986.9,9
36361,1253.0,117,984.4,9
36471,601.0,118,984.1,9
36796,1740.0,119,984.9,9
36930,631.0,120,985.5,9
37268,1166.0,121,985.0,9
37524,1026.0,122,992.9,9
37638,825.0,123,986.6,9
37829,795.0,124,987.6,9
38483,1293.0,125,985.8,9
38624,629.0,126,989.7,9
38878,1243.0,127,987.7,9
39132,1405.0,128,999.5,9
39297,1172.0,129,1003.5,9
39928,1320.0,130,998.9,9
39961,139.0,131,999.0,9
40246,1006.0,132,1003.1,9
40441,1492.0,133,1008.2,9
40576,631.0,134,1012.3,9
41205,2002.0,135,1009.9,9
41367,1322.0,136,1021.0,9
41398,146.0,137,1010.3,9
41425,237.0,138,1006.4,9
41620,1395.0,139,1006.5,9
41890,1836.0,140,1019.5,9
42399,1101.0,141,1015.7,9
42427,237.0,142,1015.7,9
42651,1398.0,143,1016.5,9
42810,746.0,144,1011.4,9
42916,838.0,145,1013.9,9
42943,233.0,146,1005.4,9
43164,1642.0,147,1009.5,9
43191,237.0,148,1006.0,9
43445,1898.0,149,1015.3,9
43472,237.0,150,1011.5,9
43873,1995.0,151,1016.3,9
44236,1382.0,152,1017.1,9
44267,166.0,153,1017.3,9
44411,758.0,154,1019.0,9
44581,970.0,155,1008.1,9
44739,1030.0,156,1007.4,9
45019,1911.0,157,1022.2,9
45046,239.0,158,1017.2,9
45193,1206.0,159,1016.9,9
45492,1294.0,160,1023.9,9
45522,165.0,161,1013.6,9
45816,1387.0,162,1025.1,9
45849,169.0,163,1005.7,9
46395,690.0,164,1010.5,9
46540,1222.0,165,1007.2,9
46569,231.0,166,1002.6,9
46626,456.0,167,984.8,9
46684,598.0,168,974.2,9
46913,792.0,169,977.5,9
47046,1037.0,170,981.0,9
47319,2035.0,171,986.3,9
47346,229.0,172,983.3,9
47607,2238.0,173,995.2,9
47745,1032.0,174,997.5,9
48071,1614.0,175,1001.7,9
48106,217.0,176,997.8,9
48518,1306.0,177,998.3,9
48678,802.0,178,998.6,9
49368,1977.0,179,1005.8,9
49442,625.0,180,1009.8,9
49680,1916.0,181,1019.9,9
49759,605.0,182,1011.9,9
50197,1198.0,183,1022.7,9
50276,599.0,184,1021.8,9
50450,1227.0,185,1027.4,9
50480,236.0,186,1023.5,9
50914,1519.0,187,1024.7,9
51062,1325.0,188,1035.6,9
51099,238.0,189,1021.8,9
51158,599.0,190,1021.7,9
52086,1264.0,191,1018.1,9
52161,590.0,192,1018.0,9
52314,1203.0,193,1018.1,9
52479,801.0,194,1014.8,9
52780,1334.0,195,1015.3,9
52946,1417.0,196,1023.3,9
52977,164.0,197,1011.3,9
53010,222.0,198,1003.3,9
53231,1910.0,199,1010.0,9
53438,710.0,200,1014.9,9
53693,2154.0,201,1024.1,9
53876,736.0,202,995.8,9
54196,1911.0,203,1007.9,9
54323,757.0,204,1005.3,9
54596,2075.0,205,1017.9,9
54678,624.0,206,1013.8,9
54855,1024.0,207,1004.9,9
55010,1033.0,208,1005.2,9
55195,1411.0,209,1011.2,9
55224,226.0,210,1002.4,9
55437,1651.0,211,1014.2,9
55464,239.0,212,1008.6,9
55593,797.0,213,995.3,9
55780,1129.0,214,992.5,9
55977,1253.0,215,1003.4,9
57151,1215.0,216,1009.6,9
57187,138.0,217,998.4,9
57390,718.0,218,999.6,9
57639,1388.0,219,996.1,9
57891,1306.0,220,1002.8,9
57930,216.0,221,993.3,9
57958,233.0,222,985.4,9
58269,1387.0,223,991.0,9
58410,629.0,224,989.4,9
58698,2173.0,225,998.2,9
58778,619.0,226,998.0,9
59011,1643.0,227,1002.0,9
59160,757.0,228,995.6,9
59282,805.0,229,991.9,9
59497,1305.0,230,991.8,9
59529,167.0,231,992.0,9
59781,1009.0,232,992.1,9
59951,1214.0,233,989.3,9
60022,600.0,234,989.0,9
60190,1555.0,235,984.5,9
60846,2272.0,236,994.0,9
60878,162.0,237,994.2,9
60911,223.0,238,994.0,9
61145,1632.0,239,996.4,9
61351,792.0,240,986.0,9
61445,838.0,241,983.3,9
61704,1012.0,242,991.1,9
61893,1402.0,243,991.1,9
62048,735.0,244,991.0,9
62170,819.0,245,990.8,9
62242,627.0,246,994.8,9
62567,1462.0,247,993.0,9
62637,589.0,248,996.5,9
63083,1611.0,249,993.6,9
63176,584.0,250,997.1,9
63282,819.0,251,985.3,9
63359,618.0,252,977.7,9
63559,1574.0,253,991.8,9
63589,223.0,254,986.4,9
63885,1603.0,255,992.7,9
63943,592.0,256,988.4,9
64218,1532.0,257,984.6,9
64309,612.0,258,988.3,9
64564,1731.0,259,993.5,9
64771,1407.0,260,994.7,9
64804,165.0,261,994.7,9
64873,618.0,262,987.0,9
65430,1602.0,263,1001.3,9
65503,604.0,264,1000.4,9
65847,1619.0,265,1004.4,9
66040,1326.0,266,1015.4,9
66145,144.0,267,1012.2,9
66211,609.0,268,1012.4,9
66433,1363.0,269,1018.1,9
66496,603.0,270,1013.7,9
66618,815.0,271,1001.5,9
66761,805.0,272,1007.3,9
66858,835.0,273,993.3,9
67021,1132.0,274,994.3,9
67077,464.0,275,982.8,9
67104,238.0,276,983.0,9
67260,1033.0,277,980.2,9
67425,1030.0,278,982.5,9
67687,1612.0,279,978.9,9
68187,961.0,280,982.2,9
68492,1964.0,281,982.7,9
68575,588.0,282,982.5,9
68665,825.0,283,978.8,9
68722,589.0,284,978.7,9
68817,842.0,285,974.9,9
68981,801.0,286,980.5,9
69336,1820.0,287,983.5,9
69370,225.0,288,972.5,9
69695,1539.0,289,985.5,9
69733,213.0,290,981.7,9
70076,1226.0,291,981.3,9
70133,592.0,292,981.3,9
70235,873.0,293,978.0,9
70305,601.0,294,976.0,9
70400,813.0,295,970.8,9
70591,1326.0,296,969.9,9
70623,126.0,297,969.5,9
70650,238.0,298,969.7,9
71220,1321.0,299,963.8,9
71247,239.0,300,959.1,9
71554,1767.0,301,955.2,9
71705,765.0,302,955.5,9
71868,1210.0,303,948.5,9
71895,238.0,304,943.3,9
72054,1238.0,305,934.9,9
72216,1139.0,306,940.1,9
72470,1835.0,307,948.2,9
72569,606.0,308,943.9,9
72728,1209.0,309,941.9,9
72987,1400.0,310,953.6,9
73389,1128.0,311,948.4,9
73564,1314.0,312,959.2,9
73595,155.0,313,952.7,9
73835,1678.0,314,958.2,9
73866,169.0,315,947.4,9
74012,1142.0,316,946.6,9
74215,1652.0,317,961.8,9
74292,587.0,318,960.5,9
74649,2430.0,319,970.9,9
74799,804.0,320,965.9,9
74969,1394.0,321,977.7,9
75270,1835.0,322,993.7,9
75327,382.0,323,983.6,9
75394,591.0,324,983.2,9
75654,1998.0,325,981.5,9
75791,1338.0,326,988.7,9
75956,1232.0,327,984.6,9
76076,1037.0,328,987.4,9
76288,1415.0,329,993.5,9
76315,239.0,330,982.8,9
76508,1641.0,331,997.6,9
76702,795.0,332,995.4,9
76858,1183.0,333,995.1,9
76933,599.0,334,995.1,9
77137,1628.0,335,995.8,9
77267,578.0,336,978.9,9
77521,1624.0,337,993.5,9
77760,1846.0,338,1009.7,9
77794,105.0,339,994.5,9
77923,729.0,340,993.8,9
78016,827.0,341,993.7,9
78043,234.0,342,986.0,9
78341,1653.0,343,988.5,9
78752,1264.0,344,993.8,9
78828,690.0,345,992.5,9
78901,604.0,346,992.2,9
79147,1610.0,347,993.7,9
79176,223.0,348,990.0,9
79505,1891.0,349,992.8,9
79859,1534.0,350,1002.4,9
79893,158.0,351,995.7,9
80123,1314.0,352,1002.7,9
80219,669.0,353,993.6,9
80330,1039.0,354,1001.8,9
80664,1864.0,355,1004.4,9
80696,224.0,356,1000.7,9
80837,968.0,357,995.1,9
81095,1405.0,358,1003.0,9
81136,213.0,359,987.8,9
81223,603.0,360,979.8,9
81512,1861.0,361,996.8,9
81640,1030.0,362,1000.9,9
82059,1853.0,363,1003.4,9
82128,601.0,364,1003.4,9
82521,2034.0,365,1007.5,9
82690,1318.0,366,1007.4,9
82769,682.0,367,1012.8,9
82796,232.0,368,1009.0,9
82949,1227.0,369,1007.7,9
83026,591.0,370,1007.6,9
83212,1034.0,371,1009.8,9
83299,619.0,372,1007.9,9
83740,2019.0,373,1019.7,9
83817,610.0,374,1014.5,9
84093,2068.0,375,1030.6,9
84340,1314.0,376,1041.3,9
84386,204.0,377,1033.0,9
84414,233.0,378,1025.1,9
84795,2951.0,379,1038.4,9
84890,600.0,380,1034.8,9
85230,2065.0,381,1035.8,9
85327,599.0,382,1036.0,9
85548,1542.0,383,1043.1,9
85625,615.0,384,1043.4,9
85945,1826.0,385,1053.2,9
86029,615.0,386,1051.4,9
86237,1654.0,387,1049.7,9
86418,1555.0,388,1063.0,9
86475,376.0,389,1051.4,9
86686,704.0,390,1056.3,9
86973,2058.0,391,1064.6,9
87039,615.0,392,1064.8,9
87336,1953.0,393,1075.6,9
87415,601.0,394,1075.6,9
87514,831.0,395,1075.8,9
87647,631.0,396,1068.9,9
88002,2351.0,397,1091.1,9
88161,1333.0,398,1102.1,9
88214,367.0,399,1092.5,9
88297,615.0,400,1096.3,9
88536,1740.0,401,1096.0,9
88603,603.0,402,1094.4,9
88895,999.0,403,1092.3,9
89084,796.0,404,1097.9,9
89307,1727.0,405,1102.8,9
89385,618.0,406,1097.6,9
89715,2215.0,407,1101.4,9
89747,220.0,408,1097.5,9
90399,2858.0,409,1114.0,9
90541,1032.0,410,1110.3,9
90757,1254.0,411,1111.6,9
90988,1411.0,412,1112.5,9
91087,961.0,413,1120.6,9
91540,661.0,414,1110.4,9
91779,1300.0,415,1121.7,9
91915,630.0,416,1116.6,9
92185,1936.0,417,1119.4,9
92367,797.0,418,1121.6,9
92810,2462.0,419,1121.9,9
93025,1413.0,420,1128.0,9
93129,905.0,421,1123.1,9
93246,1141.0,422,1116.1,9
93744,2383.0,423,1136.1,9
93886,805.0,424,1138.3,9
94207,1232.0,425,1130.6,9
94474,1397.0,426,1131.2,9
94519,213.0,427,1121.0,9
94688,1027.0,428,1120.9,9
95024,1904.0,429,1125.8,9
95190,1316.0,430,1136.6,9
95276,733.0,431,1127.5,9
95438,1554.0,432,1135.1,9
95550,969.0,433,1133.0,9
95806,1297.0,434,1139.9,9
95996,1395.0,435,1137.6,9
97067,1149.0,436,1143.3,9
97174,847.0,437,1135.5,9
97329,1031.0,438,1127.4,9
97564,1346.0,439,1139.8,9
97591,239.0,440,1134.9,9
97840,1548.0,441,1142.1,9
98059,1038.0,442,1150.2,9
98373,1657.0,443,1150.2,9
98431,597.0,444,1143.5,9
98589,1489.0,445,1151.5,9
98621,237.0,446,1147.8,9
98780,1267.0,447,1144.4,9
98851,597.0,448,1148.2,9
99059,1470.0,449,1143.9,9
99117,591.0,450,1134.5,9
99318,1657.0,451,1149.5,9
99564,1010.0,452,1146.5,9
